id,url,image_url
26937364,https://www.inaturalist.org/observations/26937364,https://inaturalist-open-data.s3.amazonaws.com/photos/41859278/medium.jpg
26978539,https://www.inaturalist.org/observations/26978539,https://static.inaturalist.org/photos/41928074/medium.jpeg
26983264,https://www.inaturalist.org/observations/26983264,https://inaturalist-open-data.s3.amazonaws.com/photos/41936418/medium.jpg
27002669,https://www.inaturalist.org/observations/27002669,https://inaturalist-open-data.s3.amazonaws.com/photos/41969140/medium.jpg
27197890,https://www.inaturalist.org/observations/27197890,https://static.inaturalist.org/photos/42293617/medium.jpg
27198038,https://www.inaturalist.org/observations/27198038,https://inaturalist-open-data.s3.amazonaws.com/photos/42290929/medium.jpeg
27228759,https://www.inaturalist.org/observations/27228759,https://static.inaturalist.org/photos/42342773/medium.jpg
27466008,https://www.inaturalist.org/observations/27466008,https://static.inaturalist.org/photos/42737372/medium.jpg
27738328,https://www.inaturalist.org/observations/27738328,https://inaturalist-open-data.s3.amazonaws.com/photos/43189937/medium.jpg
27739979,https://www.inaturalist.org/observations/27739979,https://static.inaturalist.org/photos/43192787/medium.jpeg
27740068,https://www.inaturalist.org/observations/27740068,https://static.inaturalist.org/photos/43193072/medium.jpeg
27792217,https://www.inaturalist.org/observations/27792217,https://inaturalist-open-data.s3.amazonaws.com/photos/43279730/medium.jpeg
28105511,https://www.inaturalist.org/observations/28105511,https://static.inaturalist.org/photos/43790494/medium.jpg
28156291,https://www.inaturalist.org/observations/28156291,https://static.inaturalist.org/photos/43872260/medium.jpeg
28158049,https://www.inaturalist.org/observations/28158049,https://static.inaturalist.org/photos/43875311/medium.jpg
28197597,https://www.inaturalist.org/observations/28197597,https://inaturalist-open-data.s3.amazonaws.com/photos/43939350/medium.jpg
28326274,https://www.inaturalist.org/observations/28326274,https://inaturalist-open-data.s3.amazonaws.com/photos/44147070/medium.jpg
28522041,https://www.inaturalist.org/observations/28522041,https://inaturalist-open-data.s3.amazonaws.com/photos/44467938/medium.jpg
28649531,https://www.inaturalist.org/observations/28649531,https://static.inaturalist.org/photos/44674625/medium.jpg
28777406,https://www.inaturalist.org/observations/28777406,https://static.inaturalist.org/photos/44882099/medium.jpg
28779542,https://www.inaturalist.org/observations/28779542,https://static.inaturalist.org/photos/44885555/medium.jpg
29005679,https://www.inaturalist.org/observations/29005679,https://inaturalist-open-data.s3.amazonaws.com/photos/45246526/medium.jpeg
29139836,https://www.inaturalist.org/observations/29139836,https://inaturalist-open-data.s3.amazonaws.com/photos/45465096/medium.jpg
29140274,https://www.inaturalist.org/observations/29140274,https://inaturalist-open-data.s3.amazonaws.com/photos/45465857/medium.jpg
29300102,https://www.inaturalist.org/observations/29300102,https://inaturalist-open-data.s3.amazonaws.com/photos/45721685/medium.jpeg
29425852,https://www.inaturalist.org/observations/29425852,https://static.inaturalist.org/photos/45924107/medium.jpg
29529260,https://www.inaturalist.org/observations/29529260,https://inaturalist-open-data.s3.amazonaws.com/photos/46089702/medium.jpeg
29574480,https://www.inaturalist.org/observations/29574480,https://static.inaturalist.org/photos/46163222/medium.jpg
